地區,地區人口數,地區65up人口,65up長照需求人數,老化指數,扶老比,就業人口,薪資中位數,醫療院所數,照服人力,長照機構數
臺北市,0.107,0.129,0.121,178.4,33.55,0.102,0.066,0.162,0.031,0.076
新北市,0.173,0.171,0.137,159.43,25.49,0.172,0.049,0.148,0.162,0.104
桃園市,0.099,0.081,0.082,109.48,21.15,0.099,0.054,0.074,0.083,0.068
臺中市,0.122,0.105,0.106,118.89,22.26,0.123,0.045,0.153,0.134,0.128
臺南市,0.079,0.081,0.092,164.89,26.87,0.083,0.046,0.085,0.137,0.074
高雄市,0.117,0.122,0.121,170.97,27.4,0.117,0.048,0.132,0.093,0.121
基隆市,0.015,0.017,0.013,209.87,28.88,0.015,0.049,0.013,0.011,0.012
新竹市,0.019,0.015,0.014,93.05,21.28,0.018,0.086,0.019,0.012,0.017
嘉義市,0.011,0.011,0.012,147.8,26.55,0.01,0.044,0.017,0.033,0.014
新竹縣,0.025,0.019,0.023,90.55,19.87,0.024,0.065,0.018,0.036,0.03
宜蘭縣,0.019,0.022,0.026,170.45,27.67,0.018,0.046,0.015,0.016,0.028
苗栗縣,0.022,0.023,0.03,163.96,26.99,0.023,0.052,0.017,0.022,0.022
彰化縣,0.053,0.054,0.054,156.62,26.9,0.053,0.041,0.045,0.087,0.063
南投縣,0.02,0.023,0.024,203.8,30.22,0.021,0.044,0.018,0.028,0.057
雲林縣,0.028,0.031,0.04,197.8,29.92,0.029,0.045,0.021,0.023,0.033
嘉義縣,0.02,0.025,0.031,263.11,32.35,0.022,0.043,0.011,0.029,0.031
屏東縣,0.034,0.037,0.041,200.34,28.85,0.035,0.042,0.028,0.034,0.07
澎湖縣,0.004,0.004,0.004,194.34,26.61,0.004,0.042,0.004,0.002,0.008
花蓮縣,0.014,0.014,0.018,176.45,28.68,0.013,0.045,0.012,0.011,0.02
臺東縣,0.009,0.009,0.01,176.26,27.85,0.008,0.043,0.007,0.006,0.023
